applicant_name_patstat,company_name_stock,ticker_stock,match_score,match_type,sector_match,parent_match,confidence_mean,confidence_lower,confidence_upper,total_patents
DH TECHNOLOGIES DEVELOPMENT PTE. LTD.,Co-Tech Development Corporation,8358.TWO,1.0,exact,False,True,1.0,1.0,1.0,24
Japan Tobacco Inc.,Japan Tobacco Inc.,JAPAF,1.0,exact,False,True,1.0,1.0,1.0,24
Stepan Company,Stepan Company,SCL,1.0,exact,False,True,1.0,1.0,1.0,24
"SUMITOMO METAL MINING CO., LTD.","Sumitomo Metal Mining Co., Ltd.",S19.F,1.0,exact,True,True,1.0,1.0,1.0,24
"MEIJI CO., LTD.",MEIJI HOLDINGS CO.LTD,3M0.DU,1.0,exact,False,True,1.0,1.0,1.0,24
Illinois Tool Works Inc.,Illinois Tool Works Inc.,ITW,1.0,exact,False,True,1.0,1.0,1.0,24
SIKA TECHNOLOGY AG,Sika AG,SKFOF,1.0,exact,False,True,1.0,1.0,1.0,24
Intel Corporation,Intel Corporation,INTC,1.0,exact,False,True,1.0,1.0,1.0,24
H. Lundbeck A/S,H. Lundbeck A/S,LUN.CO,1.0,exact,False,True,1.0,1.0,1.0,23
Husqvarna AB,Husqvarna AB (publ),HUSQ-B.ST,0.9986815415821501,fuzzy,False,True,0.9986815415821501,0.9986815415821501,0.9986815415821501,23
"EXELIXIS, INC.","Exelixis, Inc.",EXEL,1.0,exact,False,True,1.0,1.0,1.0,23
"Ube Industries, Ltd.","Ube Industries, Ltd.",UBEOY,1.0,exact,False,True,1.0,1.0,1.0,23
Intelligent Energy Limited,Intelligent Energy Holdings Plc,ITNRF,1.0,exact,True,True,1.0,1.0,1.0,23
TAKAZONO TECHNOLOGY INCORPORATED,"Takano Co.,Ltd.",TDF.F,0.8595238095238096,fuzzy,False,False,0.8595238095238096,0.8595238095238096,0.8595238095238096,23
"CURNA, INC.",CURA TECHNOLOGIES LTD.,CURATECH.BO,0.896888888888889,fuzzy,False,False,0.896888888888889,0.896888888888889,0.896888888888889,22
KRAFT FOODS GLOBAL BRANDS LLC,"Kraft Foods Group, Inc.",KRFT,1.0,exact,True,True,1.0,1.0,1.0,22
Oiles Corporation,Oilex Ltd,OEX.AX,0.9480000000000002,fuzzy,True,False,0.9480000000000002,0.9480000000000002,0.9480000000000002,22
Saint-Gobain Isover,SAINT-GOBAIN,SGOB-U.TI,1.0,exact,True,True,1.0,1.0,1.0,22
Nokia Corporation,Nokia Corporation,NOK,1.0,exact,False,True,1.0,1.0,1.0,22
Vestas Wind Systems A/S,Vestas Wind Systems A/S,VWS.CO,1.0,exact,False,True,1.0,1.0,1.0,22
Kabushiki Kaisha Toshiba,Toshiba Corporation,TSE1.F,1.0,exact,False,True,0.984343434343434,0.971887227947125,0.9967996407397429,22
"ATYR PHARMA, INC.","aTyr Pharma, Inc.",LIFE,1.0,exact,False,True,1.0,1.0,1.0,22
ZOETIS LLC,Zoetis Inc.,ZTS,1.0,exact,False,True,1.0,1.0,1.0,22
"Gilead Sciences, Inc.","Gilead Sciences, Inc.",GILD,1.0,exact,False,True,1.0,1.0,1.0,22
Eaton Corporation,Eaton Corporation plc,ETN,1.0,exact,False,True,1.0,1.0,1.0,22
Telefonaktiebolaget LM Ericsson (publ),Telefonaktiebolaget LM Ericsson (publ),ERCA.DE,1.0,exact,False,True,1.0,1.0,1.0,22
"HANMI SCIENCE CO., LTD.","Hanmi Science Co., Ltd.",008930.KS,1.0,exact,False,True,1.0,1.0,1.0,22
"DIRTT ENVIRONMENTAL SOLUTIONS, LTD.",DIRTT Environmental Solutions Ltd.,DRT.TO,1.0,exact,False,True,1.0,1.0,1.0,22
Solvay SA,Solvay SA,SOLB.BR,1.0,exact,False,True,1.0,1.0,1.0,21
"Mitsubishi Rayon Co., Ltd.",Mitsubishi Corporation,MBI.F,0.9526923076923078,fuzzy,False,True,0.9526923076923078,0.9526923076923078,0.9526923076923078,21
International Business Machines Corporation,International Business Machines Corporation,IBM,1.0,exact,False,True,1.0,1.0,1.0,21
Saipem S.p.A.,Saipem S.p.A.,SPE1.F,1.0,exact,True,True,1.0,1.0,1.0,21
Isis Innovation Limited,Innovation Group plc,TIG.L,0.9273333333333335,fuzzy,False,True,0.9273333333333335,0.9273333333333335,0.9273333333333335,21
Innospec Limited,Innospec Inc.,OCT.F,1.0,exact,False,True,1.0,1.0,1.0,21
"MEGMILK SNOW BRAND CO., LTD.","Megmilk Snow Brand Co., Ltd.",6MG.F,1.0,exact,False,True,1.0,1.0,1.0,21
Kaneka Corporation,Kaneka Corporation,KKA.F,1.0,exact,False,True,1.0,1.0,1.0,20
Nippon Kayaku Kabushiki Kaisha,NIPPON KAYAKU,NP7.BE,1.0,exact,False,True,1.0,1.0,1.0,20
DOLBY INTERNATIONAL AB,"Dolby Laboratories, Inc.",DLB,0.9526923076923078,fuzzy,False,True,0.9526923076923078,0.9526923076923078,0.9526923076923078,20
"Air Products and Chemicals, Inc.","Air Products and Chemicals, Inc.",APD,1.0,exact,False,True,1.0,1.0,1.0,20
BASF Corporation,BASF,BASF.TI,1.0,exact,False,True,1.0,1.0,1.0,20
Total S.A.,TOTAL S.A.,TOT.MI,1.0,exact,False,True,1.0,1.0,1.0,20
